Title,Distributor,Release Date,Budget,Opening weekend,North America,Other,Worldwide
Howard the Duck,Universal Pictures,August 1 1986,$37 ,"$5,070,136 ","$16,295,774 ","$21,667,000 ","$37,962,774 "
Blade,New Line Cinema,August 21 1998,$45 ,"$17,073,856 ","$70,087,718 ","$61,095,812 ","$131,183,530 "
X-Men,20th Century Fox,July 14 2000,$75 ,"$54,471,475 ","$157,299,717 ","$139,039,810 ","$296,339,527 "
Blade II,New Line Cinema,March 22 2002,$54 ,"$32,528,016 ","$82,348,319 ","$72,661,713 ","$155,010,032 "
Spider-Man,Sony Pictures,May 3 2002,$139 ,"$114,844,116 ","$403,706,375 ","$418,002,176 ","$821,708,551 "
Daredevil,20th Century Fox,February 14 2003,$78 ,"$40,310,419 ","$102,543,518 ","$76,636,200 ","$179,179,718 "
X2,20th Century Fox,May 2 2003,$110 ,"$85,558,731 ","$214,949,694 ","$192,761,855 ","$407,711,549 "
Hulk,Universal Pictures,June 20 2003,$137 ,"$62,128,420 ","$132,177,234 ","$113,183,246 ","$245,360,480 "
The Punisher,Lionsgate Films,April 16 2004,$33 ,"$13,834,527 ","$33,810,189 ","$20,889,916 ","$54,700,105 "
Spider-Man 2,Sony Pictures,June 30 2004,$200 ,"$88,156,227 ","$373,585,825 ","$415,390,628 ","$788,976,453 "
Blade: Trinity,New Line Cinema,December 8 2004,$65 ,"$16,061,271 ","$52,411,906 ","$76,493,460 ","$128,905,366 "
Elektra,20th Century Fox,January 14 2005,$43 ,"$12,804,793 ","$24,409,722 ","$32,271,844 ","$56,681,566 "
Fantastic Four,20th Century Fox,July 8 2005,$100 ,"$56,061,504 ","$154,696,080 ","$175,883,639 ","$330,579,719 "
X-Men: The Last Stand,20th Century Fox,May 26 2006,$210 ,"$102,750,665 ","$234,362,462 ","$224,997,093 ","$459,359,555 "
Ghost Rider,Sony Pictures,February 16 2007,$110 ,"$45,388,836 ","$115,802,596 ","$112,935,797 ","$228,738,393 "
Spider-Man 3,Sony Pictures,May 4 2007,$258 ,"$151,116,516 ","$336,530,303 ","$554,341,323 ","$890,871,626 "
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,June 15 2007,$130 ,"$58,051,684 ","$131,921,738 ","$169,991,393 ","$301,913,131 "
Iron Man,Paramount Pictures,May 2 2008,$140 ,"$98,618,668 ","$318,412,101 ","$266,762,121 ","$585,174,222 "
The Incredible Hulk,Universal Pictures,June 13 2008,$150 ,"$55,414,050 ","$134,806,913 ","$128,620,638 ","$263,427,551 "
Punisher: War Zone,Lionsgate Films,December 5 2008,$35 ,"$4,271,451 ","$8,050,977 ","$2,049,059 ","$10,100,036 "
X-Men Origins: Wolverine,20th Century Fox,May 1 2009,$150 ,"$85,058,003 ","$179,883,157 ","$193,179,707 ","$373,062,864 "
Iron Man 2,Paramount Pictures,May 7 2010,$200 ,"$128,122,480 ","$312,433,331 ","$311,500,000 ","$623,933,331 "
Thor,Paramount Pictures,May 6 2011,$150 ,"$65,723,338 ","$181,030,624 ","$268,295,994 ","$449,326,618 "
X-Men: First Class,20th Century Fox,June 3 2011,$160 ,"$55,101,604 ","$146,408,305 ","$207,215,819 ","$353,624,124 "
Captain America: The First Avenger,Paramount Pictures,July 22 2011,$140 ,"$65,058,524 ","$176,654,505 ","$193,915,269 ","$370,569,774 "
Ghost Rider: Spirit of Vengeance,Sony Pictures,February 17 2012,$57 ,"$22,115,334 ","$51,774,002 ","$80,789,928 ","$132,563,930 "
The Avengers,Walt Disney Studios Motion Pictures,May 4 2012,$220 ,"$207,438,708 ","$623,357,910 ","$895,455,078 ","$1,518,812,988 "
The Amazing Spider-Man,Sony Pictures,July 3 2012,$230 ,"$62,004,688 ","$262,030,663 ","$495,900,000 ","$757,930,663 "
Iron Man 3,Walt Disney Studios Motion Pictures,May 3 2013,$200 ,"$174,144,585 ","$409,013,994 ","$805,797,258 ","$1,214,811,252 "
The Wolverine,20th Century Fox,July 26 2013,$120 ,"$53,113,752 ","$132,550,960 ","$282,271,394 ","$414,828,246 "
Thor: The Dark World,Walt Disney Studios Motion Pictures,November 8 2013,$170 ,"$85,737,841 ","$206,362,140 ","$438,209,262 ","$644,571,402 "
Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,April 4 2014,$170 ,"$95,023,721 ","$259,766,572 ","$454,497,695 ","$714,264,267 "
The Amazing Spider-Man 2,Sony Pictures,May 2 2014,$255 ,"$91,608,337 ","$202,853,933 ","$506,128,390 ","$708,982,323 "
X-Men: Days of Future Past,20th Century Fox,May 23 2014,$200 ,"$90,823,660 ","$233,921,534 ","$513,941,241 ","$747,862,775 "
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,August 1 2014,$170 ,"$94,320,883 ","$333,176,600 ","$440,152,029 ","$773,328,629 "
Big Hero 6,Walt Disney Studios Motion Pictures,November 7 2014,$165 ,"$56,215,889 ","$222,527,828 ","$435,300,000 ","$657,827,828 "
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,May 1 2015,$250 ,"$191,271,109 ","$459,005,868 ","$946,397,826 ","$1,405,403,694 "
Ant-Man,Walt Disney Studios Motion Pictures,July 17 2015,$130 ,"$57,225,526 ","$180,202,163 ","$339,109,802 ","$519,311,965 "
Fantastic Four,20th Century Fox,August 7 2015,$120 ,"$25,685,737 ","$56,117,548 ","$111,765,333 ","$167,882,881 "
Deadpool,20th Century Fox,February 12 2016,$58 ,"$132,434,600 ","$363,070,709 ","$420,042,270 ","$783,112,979 "
Captain America: Civil War,Walt Disney Studios Motion Pictures,May 6 2016,$250 ,"$179,139,142 ","$408,084,349 ","$745,220,146 ","$1,153,304,495 "
X-Men: Apocalypse,20th Century Fox,May 27 2016,$178 ,"$65,769,562 ","$155,442,489 ","$388,491,616 ","$543,934,105 "
Doctor Strange,Walt Disney Studios Motion Pictures,November 4 2016,$165 ,"$85,058,311 ","$232,641,920 ","$445,076,475 ","$677,718,395 "
Logan,20th Century Fox,March 3 2017,$97 ,"$88,411,916 ","$226,277,068 ","$390,518,532 ","$616,795,600 "
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,May 5 2017,$200 ,"$146,510,104 ","$389,813,101 ","$473,942,950 ","$863,756,051 "
Spider-Man: Homecoming,Sony Pictures,July 7 2017,$175 ,"$117,027,503 ","$334,201,140 ","$545,965,784 ","$880,166,924 "
Inhumans,IMAX Entertainment,September 1 2017,N/A,"$1,500,000 ","$1,521,787 ","$1,330,495 ","$2,852,282 "
Thor: Ragnarok,Walt Disney Studios Motion Pictures,November 3 2017,$180 ,"$122,744,989 ","$315,058,289 ","$538,918,837 ","$853,977,126 "
Black Panther,Walt Disney Studios Motion Pictures,February 16 2018,$200 ,"$202,003,951 ","$700,059,566 ","$646,853,595 ","$1,346,913,161 "
Avengers: Infinity War,Walt Disney Studios Motion Pictures,April 27 2018,$316 ,"$257,698,183 ","$678,815,482 ","$1,369,544,272 ","$2,048,359,754 "
Deadpool 2,20th Century Fox,May 18 2018,$110 ,"$125,507,153 ","$324,591,735 ","$460,455,185 ","$785,046,920 "
Ant-Man and the Wasp,Walt Disney Studios Motion Pictures,July 6 2018,$162 ,"$75,812,205 ","$216,648,740 ","$406,025,399 ","$622,674,139 "
Venom,Sony Pictures,October 5 2018,$100 ,"$80,255,756 ","$213,515,506 ","$641,498,448 ","$855,013,954 "
Spider-Man: Into the Spider-Verse,Sony Pictures,December 14 2018,$90 ,"$35,363,376 ","$190,241,310 ","$185,299,521 ","$375,540,831 "
Captain Marvel,Walt Disney Studios Motion Pictures,March 8 2019,$152 ,"$153,433,423 ","$426,829,839 ","$701,444,955 ","$1,128,274,794 "
Avengers: Endgame,Walt Disney Studios Motion Pictures,April 26 2019,$356 ,"$357,115,007 ","$858,373,000 ","$1,937,901,401 ","$2,797,800,564 "
Dark Phoenix,20th Century Fox,June 7 2019,$200 ,"$32,828,348 ","$65,845,974 ","$186,597,000 ","$252,442,974 "
Spider-Man: Far From Home,Sony Pictures,July 2 2019,$160 ,"$92,579,212 ","$390,532,085 ","$741,395,911 ","$1,131,927,996 "
The New Mutants,20th Century Studios,August 28 2020,$67 ,"$7,037,017 ","$23,855,569 ","$24,819,497 ","$48,675,066 "
Black Widow,Walt Disney Studios Motion Pictures,July 9 2021,$200 ,"$80,366,312 ","$183,651,665 ","$195,979,696 ","$379,631,351 "
Shang-Chi and the Legend of the Ten Rings,Walt Disney Studios Motion Pictures,September 3 2021,$150 ,"$75,388,688 ","$224,543,292 ","$207,700,000 ","$432,243,292 "
Venom: Let There Be Carnage,Sony Pictures,October 1 2021,$110 ,"$90,033,210 ","$213,550,366 ","$288,500,000 ","$502,050,366 "
Eternals,Walt Disney Studios Motion Pictures,November 5 2021,$200 ,"$85,021,497 ","$164,870,234 ","$237,194,665 ","$402,064,899 "
Spider-Man: No Way Home,Sony Pictures,December 17 2021,$200 ,"$260,138,569 ","$780,418,859 ","$1,072,000,000 ","$1,852,418,859 "
Total,Total,Total,"$8,424 ","$5,688,487,114 ","$15,809,734,872 ","$24,430,137,918 ","$40,239,878,672 "
Average,Average,Average,$142.35 ,"$83,992,268 ","$228,139,366 ","$344,915,384 ","$573,054,859 "